Opened,Closed,Updated,Status,Responsible Agency,Category,Neighborhood,Source
07/29/2015 06:38:55 PM,07/30/2015 01:41:20 AM,07/30/2015 01:41:20 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
08/16/2015 12:52:24 PM,08/18/2015 03:05:24 AM,08/18/2015 03:05:24 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
07/31/2015 05:17:30 AM,07/31/2015 09:13:59 AM,07/31/2015 09:13:59 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Web Self Service
06-01-2016 15:32,,06-02-2016 12:00,Open,DPW BSM Queue,Damaged Property,Chinatown,Open311
07/16/2015 06:45:22 PM,07/17/2015 10:18:14 AM,07/17/2015 10:18:14 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
06-01-2016 15:35,,06-02-2016 12:00,Open,DPW BSM Queue,Graffiti Public Property,Chinatown,Open311
03-12-2016 12:00,03/14/2016 05:47:01 AM,03/14/2016 05:47:01 AM,Closed,Clear Channel - Transit Queue,Damaged Property,Mission,Open311
07/16/2015 06:46:34 PM,07/16/2015 08:07:52 PM,07/16/2015 08:07:52 PM,Closed,DPW Ops Queue,Litter Receptacles,Mission,Voice In
03-12-2016 12:04,03/14/2016 09:48:46 AM,03/14/2016 09:48:46 AM,Closed,311 Supervisor Queue,Blocked Street or SideWalk,Mission,Open311
06-01-2016 09:06,06-02-2016 02:02,06-02-2016 02:02,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03-12-2016 13:20,03/14/2016 09:21:00 AM,03/14/2016 09:21:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03-12-2016 13:53,03/14/2016 09:49:35 AM,03/14/2016 09:49:35 AM,Closed,311 Supervisor Queue,Blocked Street or SideWalk,Mission,Open311
03-12-2016 13:58,03/14/2016 05:46:39 AM,03/14/2016 05:46:39 AM,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 15:54,,06-02-2016 15:55,Open,DPW Ops Queue,Damaged Property,Chinatown,Open311
02/25/2016 12:08:42 PM,,03-01-2016 09:08,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Mission,Voice In
03-12-2016 14:35,03/14/2016 09:00:00 AM,03/14/2016 09:00:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03-12-2016 14:38,03/14/2016 07:41:15 AM,03/14/2016 07:41:15 AM,Closed,311 Supervisor Queue,Sign Repair,Nob Hill,Open311
07/17/2015 10:14:45 AM,08/19/2015 09:15:13 AM,08/19/2015 09:15:13 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Integrated Agency
08/17/2015 09:08:12 AM,08/17/2015 10:30:18 AM,08/17/2015 10:30:18 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 10:10,06-02-2016 03:01,06-02-2016 03:01,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
07/16/2015 04:17:57 PM,07/17/2015 03:44:56 PM,07/17/2015 03:44:56 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 10:24,06-02-2016 03:01,06-02-2016 03:01,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Russian Hill,Voice In
03-12-2016 16:40,03/14/2016 02:42:13 PM,03/14/2016 02:42:13 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
06-01-2016 10:35,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03-12-2016 16:46,03/14/2016 12:58:54 PM,03/14/2016 12:58:54 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 11:15,,06-02-2016 12:00,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
07/16/2015 07:16:18 PM,07/18/2015 02:02:54 AM,07/18/2015 02:02:54 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
07/31/2015 06:28:14 AM,07/31/2015 07:25:36 AM,07/31/2015 07:25:36 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Web Self Service
07/31/2015 07:41:23 AM,07/31/2015 08:47:18 AM,07/31/2015 08:47:18 AM,Closed,DPW Ops Queue,Tree Maintenance,Mission,Integrated Agency
06-01-2016 11:21,06-02-2016 02:43,06-02-2016 02:43,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Voice In
06-01-2016 15:39,06-02-2016 10:34,06-02-2016 10:34,Closed,DPW Ops Queue,Graffiti Public Property,North Beach,Open311
06-01-2016 11:26,06/15/2016 12:24:52 PM,06/15/2016 12:24:52 PM,Closed,DPT - Other - G,General Requests,Russian Hill,Voice In
06-01-2016 11:29,,06-02-2016 11:18,Open,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,South of Market,Voice In
02/26/2016 07:55:53 AM,03-07-2016 05:29,03-07-2016 05:29,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Mission,Web Self Service
03-12-2016 22:23,03/14/2016 01:25:12 PM,03/14/2016 01:25:12 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
07/16/2015 08:53:40 PM,07/21/2015 03:46:56 PM,07/21/2015 03:46:56 PM,Closed,PUC Streetlights Queue,Streetlights,South of Market,Open311
03-11-2016 23:07,03-12-2016 02:52,03-12-2016 02:52,Closed,DPW BSSR Queue,Street Defects,South of Market,Integrated Agency
06-01-2016 11:55,,06-02-2016 08:40,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
02/26/2016 10:50:49 AM,,03-01-2016 13:18,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
03/13/2016 10:31:04 AM,03/14/2016 08:28:31 AM,03/14/2016 08:28:31 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/13/2016 10:50:50 AM,03/14/2016 03:35:15 PM,03/14/2016 03:35:15 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
03/13/2016 10:56:53 AM,03/14/2016 03:51:00 PM,03/14/2016 03:51:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Open311
02/26/2016 01:17:15 PM,03-01-2016 06:05,03-01-2016 06:05,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
07/31/2015 08:43:30 AM,07/31/2015 10:02:37 AM,07/31/2015 10:02:37 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/13/2016 11:49:20 AM,,03/14/2016 01:00:00 AM,Open,DPW Ops Queue,Graffiti Public Property,Mission,Open311
06-01-2016 12:21,06-02-2016 02:04,06-02-2016 02:04,Closed,DPW Ops Queue,Graffiti Private Property,Chinatown,Open311
06-01-2016 12:25,06-02-2016 08:11,06-02-2016 08:11,Closed,DPW Ops Queue,Graffiti Private Property,Chinatown,Open311
07/16/2015 04:41:21 PM,07/17/2015 03:33:08 PM,07/17/2015 03:33:08 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/13/2016 12:11:30 PM,,03/14/2016 01:00:00 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/13/2016 12:14:17 PM,03/14/2016 01:38:25 AM,03/14/2016 01:38:25 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Open311
07/31/2015 08:46:08 AM,07/31/2015 03:33:40 PM,07/31/2015 03:33:40 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/16/2015 04:45:29 PM,07/17/2015 03:39:09 PM,07/17/2015 03:39:09 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03-12-2016 23:13,,03-12-2016 23:15,Open,DPW BSSR Queue,Street Defects,South of Market,Voice In
02/26/2016 03:29:07 PM,03-01-2016 08:41,03-01-2016 08:41,Closed,PG and E - Streetlights Queue,Streetlights,Mission,Voice In
06-01-2016 12:56,06-02-2016 08:10,06-02-2016 08:10,Closed,DPW Ops Queue,Graffiti Private Property,Chinatown,Open311
03/13/2016 12:34:52 PM,03/14/2016 08:14:51 AM,03/14/2016 08:14:51 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/13/2016 01:06:42 PM,03/14/2016 09:05:08 PM,03/14/2016 09:05:08 PM,Closed,Police - Homeless Concerns Queue,General Requests,South of Market,Open311
06-01-2016 13:01,,06-02-2016 15:20,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
02/26/2016 04:10:57 PM,03-01-2016 11:44,03-01-2016 11:44,Closed,MUNI Work Queue,MUNI Feedback,Mission,Voice In
07/16/2015 04:51:20 PM,07/17/2015 09:26:21 AM,07/17/2015 09:26:21 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
03/13/2016 01:13:09 PM,03/14/2016 06:00:35 AM,03/14/2016 06:00:35 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Russian Hill,Voice In
03/13/2016 01:15:09 PM,03/14/2016 04:19:20 PM,03/14/2016 04:19:20 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
02/26/2016 04:19:46 PM,03-01-2016 10:25,03-01-2016 10:25,Closed,DPT Meter_Bike Queue,Damaged Property,South of Market,Voice In
03/13/2016 01:17:32 PM,03/14/2016 06:01:07 AM,03/14/2016 06:01:07 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/13/2016 01:19:33 PM,03/14/2016 04:38:25 PM,03/14/2016 04:38:25 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03/13/2016 01:21:54 PM,03/14/2016 04:33:27 PM,03/14/2016 04:33:27 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/16/2015 11:53:27 PM,07/17/2015 05:23:19 PM,07/17/2015 05:23:19 PM,Closed,MUNI Work Queue,MUNI Feedback,Civic Center,Voice In
06-01-2016 13:03,06-02-2016 10:46,06-02-2016 10:46,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
07/17/2015 03:52:55 AM,07/17/2015 10:59:46 AM,07/17/2015 10:59:46 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Integrated Agency
07/31/2015 09:44:29 AM,07/31/2015 10:49:38 AM,07/31/2015 10:49:38 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,North Beach,Voice In
03/13/2016 01:43:20 PM,03/14/2016 04:29:34 PM,03/14/2016 04:29:34 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Civic Center,Open311
03/13/2016 01:47:36 PM,03/14/2016 04:36:51 PM,03/14/2016 04:36:51 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Open311
03/13/2016 02:20:25 PM,03/14/2016 04:28:34 PM,03/14/2016 04:28:34 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
07/31/2015 09:44:32 AM,07/31/2015 12:21:42 PM,07/31/2015 12:21:42 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Integrated Agency
03/13/2016 02:27:08 PM,03/14/2016 02:06:28 AM,03/14/2016 02:06:28 AM,Closed,DPW Ops Queue,Litter Receptacles,Mission,Open311
03/13/2016 02:35:09 PM,03/14/2016 04:27:03 PM,03/14/2016 04:27:03 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03/13/2016 02:35:52 PM,03/14/2016 06:05:02 AM,03/14/2016 06:05:02 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Voice In
03/13/2016 03:16:55 PM,03/14/2016 04:32:26 PM,03/14/2016 04:32:26 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
06-01-2016 13:40,06-02-2016 02:46,06-02-2016 02:46,Closed,DPW Ops Queue,Blocked Street or SideWalk,South of Market,Open311
07/17/2015 05:25:11 AM,07/17/2015 11:31:56 AM,07/17/2015 11:31:56 AM,Closed,Clear Channel - Transit Queue,Damaged Property,North Beach,Voice In
03/13/2016 03:29:46 PM,03/14/2016 04:25:31 PM,03/14/2016 04:25:31 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 16:01,06-02-2016 10:50,06-02-2016 10:50,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Voice In
06-01-2016 13:42,06-02-2016 18:04,06-02-2016 18:04,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Civic Center,Open311
02/27/2016 08:52:47 AM,,03-01-2016 11:41,Open,DPW Ops Queue,Graffiti Public Property,Mission,Open311
07/17/2015 05:26:20 AM,07/17/2015 09:52:40 AM,07/17/2015 09:52:40 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Web Self Service
06-01-2016 16:02,06-02-2016 10:32,06-02-2016 10:32,Closed,DPW Ops Queue,Blocked Street or SideWalk,South of Market,Open311
03/13/2016 03:45:40 PM,03/14/2016 04:32:07 PM,03/14/2016 04:32:07 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Civic Center,Voice In
07/17/2015 05:29:12 AM,07/17/2015 04:22:02 PM,07/17/2015 04:22:02 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Web Self Service
02/27/2016 10:04:58 AM,,03-01-2016 08:58,Open,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03/13/2016 04:21:49 PM,03/14/2016 09:54:50 AM,03/14/2016 09:54:50 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Voice In
03/13/2016 04:28:33 PM,03/14/2016 04:31:17 PM,03/14/2016 04:31:17 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03/13/2016 04:38:52 PM,03/14/2016 04:24:01 PM,03/14/2016 04:24:01 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Twitter
03/13/2016 04:50:06 PM,03/14/2016 09:55:11 AM,03/14/2016 09:55:11 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
06-01-2016 13:57,06-02-2016 10:20,06-02-2016 10:20,Closed,Recology_Abandoned,Litter Receptacles,Mission,Open311
03/13/2016 05:01:59 PM,03/14/2016 04:23:08 PM,03/14/2016 04:23:08 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
06-01-2016 14:02,06-02-2016 09:55,06-02-2016 09:55,Closed,DPW Ops Queue,Graffiti Public Property,South of Market,Open311
07/17/2015 05:34:43 AM,07/25/2015 07:31:02 AM,07/25/2015 07:31:02 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Web Self Service
06-01-2016 14:03,06-02-2016 09:17,06-02-2016 09:17,Closed,DPW Ops Queue,Graffiti Public Property,Chinatown,Open311
07/17/2015 05:37:04 AM,07/17/2015 07:55:04 AM,07/17/2015 07:55:04 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Web Self Service
07/17/2015 05:39:11 AM,07/19/2015 01:40:24 AM,07/19/2015 01:40:24 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Web Self Service
03/13/2016 06:39:22 PM,03/14/2016 04:22:15 PM,03/14/2016 04:22:15 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/13/2016 06:41:14 PM,,03/14/2016 06:46:37 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/13/2016 06:48:51 PM,03/14/2016 09:46:00 AM,03/14/2016 09:46:00 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
03/13/2016 07:05:21 PM,,03/14/2016 06:37:46 AM,Open,DPW Ops Queue,Graffiti Public Property,South of Market,Open311
06-01-2016 16:07,06-02-2016 02:24,06-02-2016 02:24,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/13/2016 07:17:38 PM,,03/14/2016 06:39:20 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Civic Center,Open311
07/17/2015 06:49:02 AM,07/17/2015 10:45:00 AM,07/17/2015 10:45:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/17/2015 07:18:20 AM,07/21/2015 12:25:04 PM,07/21/2015 12:25:04 PM,Closed,SFMTA - Transportation Engineering Queue,Street Defects,South of Market,Open311
03/13/2016 07:20:27 PM,03/14/2016 11:20:00 AM,03/14/2016 11:20:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
02/27/2016 03:49:31 PM,,03-01-2016 08:46,Open,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03/13/2016 07:40:28 PM,03/14/2016 09:07:03 AM,03/14/2016 09:07:03 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 14:23,06-02-2016 08:51,06-02-2016 08:51,Closed,SFMTA - Transportation Engineering Queue,General Requests,Mission,Voice In
03/13/2016 07:53:08 PM,03/14/2016 07:54:21 AM,03/14/2016 07:54:21 AM,Closed,PUC - Sewer - G,General Requests,Financial District,Integrated Agency
03/13/2016 08:07:22 PM,03/14/2016 09:54:31 AM,03/14/2016 09:54:31 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Open311
06-01-2016 14:33,06-02-2016 06:04,06-02-2016 06:04,Closed,Clear Channel - Transit Queue,Graffiti Public Property,Nob Hill,Open311
06-01-2016 14:34,,06-02-2016 10:07,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Mission,Voice In
03/13/2016 08:16:08 PM,03/14/2016 04:05:25 AM,03/14/2016 04:05:25 AM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 14:39,06-02-2016 06:03,06-02-2016 06:03,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/17/2015 07:21:56 AM,07/17/2015 03:51:35 PM,07/17/2015 03:51:35 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
03-11-2016 15:40,03/14/2016 05:50:01 AM,03/14/2016 05:50:01 AM,Closed,Clear Channel - Transit Queue,Graffiti Public Property,Civic Center,Open311
07/31/2015 09:49:25 AM,07/31/2015 12:00:00 PM,07/31/2015 12:00:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Voice In
08/17/2015 09:37:09 AM,,08/17/2015 09:37:09 AM,Open,PUC Streetlights Queue,Streetlights,South of Market,Web Self Service
03-11-2016 16:48,03/14/2016 09:53:52 AM,03/14/2016 09:53:52 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
06-01-2016 14:45,06-02-2016 06:03,06-02-2016 06:03,Closed,Clear Channel - Transit Queue,Graffiti Public Property,Chinatown,Open311
03-11-2016 17:44,,03/14/2016 12:00:00 PM,Open,DPW BSM Queue,Graffiti Public Property,Financial District,Open311
07/31/2015 10:39:49 AM,08-03-2015 14:47,08-03-2015 14:47,Closed,Recology_Abandoned,Litter Receptacles,South of Market,Web Self Service
03-11-2016 18:24,,03/14/2016 12:00:00 PM,Open,DPW BSM Queue,Graffiti Public Property,South of Market,Open311
06-01-2016 14:59,06-02-2016 06:00,06-02-2016 06:00,Closed,Clear Channel - Transit Queue,Damaged Property,South of Market,Voice In
06-01-2016 15:03,,06-02-2016 10:02,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Web Self Service
06-01-2016 15:06,06-02-2016 11:49,06-02-2016 11:49,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/31/2015 10:40:48 AM,07/31/2015 11:00:12 AM,07/31/2015 11:00:12 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03-11-2016 23:34,03/14/2016 11:27:17 AM,03/14/2016 11:27:17 AM,Closed,PG and E - Streetlights Queue,Streetlights,South of Market,Voice In
02/28/2016 09:48:23 AM,,03-01-2016 13:21,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Chinatown,Voice In
07/16/2015 05:10:52 PM,07/22/2015 11:57:37 AM,07/22/2015 11:57:37 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,North Beach,Voice In
03-12-2016 08:23,,03/14/2016 08:25:04 AM,Open,DPW Ops Queue,Litter Receptacles,South of Market,Voice In
03-12-2016 08:25,03/14/2016 05:47:41 AM,03/14/2016 05:47:41 AM,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03-12-2016 08:44,03/14/2016 11:02:57 AM,03/14/2016 11:02:57 AM,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03-12-2016 08:47,,03/14/2016 01:00:00 AM,Open,DPW Ops Queue,Graffiti Private Property,Mission,Open311
03-12-2016 08:49,03/14/2016 10:19:49 AM,03/14/2016 10:19:49 AM,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03-12-2016 08:49,03/14/2016 10:08:50 AM,03/14/2016 10:08:50 AM,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
03-12-2016 08:59,03/14/2016 10:27:54 AM,03/14/2016 10:27:54 AM,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Open311
12-01-2015 16:40,12-04-2015 01:03,12-04-2015 01:03,Closed,DPW Ops Queue,Damaged Property,Mission,Open311
06-01-2016 15:17,06-02-2016 10:40,06-02-2016 10:40,Closed,DPW Ops Queue,Graffiti Public Property,Chinatown,Open311
07/16/2015 06:25:07 PM,07/21/2015 06:14:43 AM,07/21/2015 06:14:43 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Russian Hill,Web Self Service
03-12-2016 09:36,03/14/2016 02:35:52 PM,03/14/2016 02:35:52 PM,Closed,Recology_Litter,Litter Receptacles,South of Market,Voice In
06-01-2016 15:20,06-02-2016 10:41,06-02-2016 10:41,Closed,DPW Ops Queue,Graffiti Public Property,Chinatown,Open311
06-01-2016 15:22,06-02-2016 08:13,06-02-2016 08:13,Closed,DPW Ops Queue,Graffiti Private Property,Nob Hill,Open311
06-01-2016 15:22,06-02-2016 08:47,06-02-2016 08:47,Closed,Police - Homeless Concerns Queue,General Requests,South of Market,Open311
06-01-2016 15:23,06-02-2016 08:34,06-02-2016 08:34,Closed,DPW BUF Queue,Tree Maintenance,Mission,Voice In
06-01-2016 15:26,,06-02-2016 05:57,Open,SFMTA - Muni System Feedback Queue,Graffiti Private Property,Civic Center,Open311
06-01-2016 15:28,06-02-2016 06:00,06-02-2016 06:00,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 15:30,06-02-2016 02:51,06-02-2016 02:51,Closed,DPW Ops Queue,Graffiti Public Property,Mission,Voice In
06-01-2016 15:46,06-02-2016 08:51,06-02-2016 08:51,Closed,DPT - Other - G,General Requests,South of Market,Voice In
03/13/2016 09:35:31 PM,,03/14/2016 08:27:16 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
07/16/2015 06:44:17 PM,09-04-2015 08:30,09-04-2015 08:30,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Voice In
06-01-2016 15:47,,06-02-2016 09:56,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Mission,Voice In
03/14/2016 12:26:15 PM,03/14/2016 12:29:56 PM,03/14/2016 12:29:56 PM,Closed,SFMTA - Parking Enforcement - G,General Requests,South of Market,Other Department
03/14/2016 12:27:22 PM,03/14/2016 03:27:40 PM,03/14/2016 03:27:40 PM,Closed,RPD Park Service Area 1 Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 12:27:46 PM,03/14/2016 02:28:06 PM,03/14/2016 02:28:06 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
06-01-2016 16:09,06-02-2016 05:59,06-02-2016 05:59,Closed,Clear Channel - Transit Queue,Graffiti Public Property,South of Market,Open311
03/14/2016 12:31:09 PM,03/14/2016 02:20:11 PM,03/14/2016 02:20:11 PM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Chinatown,Open311
07/17/2015 02:04:47 PM,07/20/2015 03:37:45 PM,07/20/2015 03:37:45 PM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/17/2015 02:20:07 PM,07/21/2015 12:37:12 PM,07/21/2015 12:37:12 PM,Closed,PUC Sewer Ops,Sewer Issues,Russian Hill,Voice In
03/14/2016 12:31:15 PM,03/14/2016 03:29:08 PM,03/14/2016 03:29:08 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/14/2016 12:32:53 PM,03/14/2016 04:47:02 PM,03/14/2016 04:47:02 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
03/14/2016 12:38:01 PM,03/14/2016 02:48:26 PM,03/14/2016 02:48:26 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Chinatown,Open311
08-01-2015 11:22,08/14/2015 10:23:37 AM,08/14/2015 10:23:37 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/14/2015 05:59:50 PM,07/15/2015 01:17:00 AM,07/15/2015 01:17:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
07/14/2015 06:01:17 PM,07/18/2015 01:49:30 AM,07/18/2015 01:49:30 AM,Closed,DPW Ops Queue,Litter Receptacles,South of Market,Open311
03/14/2016 12:42:33 PM,03/18/2016 10:30:22 AM,03/18/2016 10:30:22 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/17/2015 02:39:43 PM,07/17/2015 04:04:49 PM,07/17/2015 04:04:49 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Voice In
06-01-2016 16:28,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Sidewalk or Curb,South of Market,Open311
03/13/2016 11:03:01 PM,03/14/2016 02:40:49 PM,03/14/2016 02:40:49 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/13/2016 11:05:17 PM,03/14/2016 02:55:57 AM,03/14/2016 02:55:57 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/13/2016 11:08:34 PM,03/14/2016 01:08:20 PM,03/14/2016 01:08:20 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/13/2016 11:11:10 PM,,03/14/2016 08:33:24 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03/13/2016 11:22:15 PM,03/14/2016 12:11:36 AM,03/14/2016 12:11:36 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
03/14/2016 05:08:06 AM,03/14/2016 08:04:15 AM,03/14/2016 08:04:15 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Web Self Service
03/14/2016 05:12:04 AM,03/14/2016 08:06:13 AM,03/14/2016 08:06:13 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Web Self Service
