,custcode,custname1,custareacode,fincustgrp,custaddress,currency
406,CU1B00704,BLOOMS ENGINEERING,53,1,BLOOMS ENGINEERING  MUNDOOR  TRICHUR ,IND
407,CU1B00705,BHAVYA HONDA,33,1,BHAVYA HONDA DHRU CARS PVT LTD OPP:AESHIRWAD BUNGLOW SURAT-DUMAR ROAD PIPLDO SURAT,IND
408,CU1B01032,BELLAD ENTERPRISES PVT LTD,43,1,BELLAD ENTERPRISES PVT LTD  BELLAD CHAMBERS VIDYANAGAR HUBLI ,IND
409,CU1B01033,BALAJI BOREWELLS CO,34,1,"BALAJI BOREWELLS CO   NO 24/2,NETTU STREET VTHRAVANIPET BHOPAL",IND
410,CU1B01034,BALKRISHNA TYRES WALUJ,32,1,BALKRISHNA TYRES WALUJ  B66 WALUJ MIDC  AURANGABAD ,IND
411,CU1B00111,BIRLA CORPORATION LIMITED,11,1,"BIRLA CORPORATION LIMITED AUTO TRIM DIVISION NAWADA FETHEPUR VILLAGE P O NAKHADULA, MANESAR GURGAON ",IND
412,CU1C00142,CHITRALEKHA,31,1,"CHITRALEKHA 132 ANDHERI INDUSTRIAL ESTATE OFFICE VEERA DESAI ROAD AZAD NAGAR POST, ANDHERI (W) MUMBAI ",IND
413,CU1C00143,CHITTARANJAN LOCOMOTIVE WORKS,21,2,CHITTARANJAN LOCOMOTIVE WORKS    CALCUTTA ,IND
414,CU1C00144,CHITTARANJAN LOCOMOTIVE WORKS,21,2,CHITTARANJAN LOCOMOTIVE WORKS  THE FINANCIAL ADVISER AND CHIEF ACCOUNTS OFFICER CHITTARANJAN WEST BENGAL,IND
415,CU1C00146,CHOLAN ROADWAYS CORPORATION LIMITED,41,2,CHOLAN ROADWAYS CORPORATION LIMITED  POST BOX NO 46 RAILWAY STATION NEW ROAD KUMBAKONAM ,IND
416,CU1C00147,CHOOMKI AUTOMOBILES,21,1,CHOOMKI AUTOMOBILES  AKHAURA ROAD  AGARTALA ,IND
417,CU1C00148,CHOPRA METALS PRIVATE LIMITED,12,1,"CHOPRA METALS PRIVATE LIMITED  8-B, HEAVY INDUSTRIAL AREA  JODHPUR ",IND
418,CU1C00149,CHOPRA RUBBER INDUSTRIES,11,1,CHOPRA RUBBER INDUSTRIES  RADAUR ROAD OPP POWER HOUSE YAMUNA NAGAR ,IND
419,CU1C00150,CHOUDHARY AGENCIES,34,1,CHOUDHARY AGENCIES  53 HAMIDIA ROAD  BHOPAL ,IND
420,CU1C00183,CONFEDERATION OF INDIAN INDUSTRY,41,1,CONFEDERATION OF INDIAN INDUSTRY C/o. ELGI EQUIPMENTS LIMITED STALL NO. 163 & 167 CHENNAI TRADE CENTRE MOUNT POONAMALLEE ROAD CHENNAI,IND
421,CU1C00206,CROMPTON GREAVES LIMITED,31,1,"CROMPTON GREAVES LIMITED  MACHINE DIVISION V DR E MOSES ROAD, WORLI MUMBAI ",IND
422,CU1C00208,CROWN TELEVISION LIMITED,33,1,CROWN TELEVISION LIMITED  A1 A2 GIDC ELECTRONIC ESTATE GANDHI NAGAR ,IND
423,CU1C00210,CRYSTAL EXPORT CORPORATION,51,1,CRYSTAL EXPORT CORPORATION  21 BUNGLOW ROAD AVANASHI ROAD TIRUPPUR ,IND
424,CU1C00211,CRYSTAL GRANITE AND MARBLE PRIVATE,31,1,CRYSTAL GRANITE AND MARBLE PRIVATE LIMITED K-5 ADDL.MIDC AREA KODOLI VILLAGE SATARA ,IND
425,CU1C00212,CRYSTAL GRANITE AND MARBLES PRIVATE,31,1,"CRYSTAL GRANITE AND MARBLES PRIVATE LIMITED CONWOOD HOUSE, YASHODHAM GEN.AK VAIDYA MARG,GOREGAON(E) MUMBAI ",IND
426,CU1A01483,AHLUWALIA CONTRACTS(INDIA)LIMITED,21,1,"AHLUWALIA CONTRACTS(INDIA)LIMITED  METROPOLITAN CO OPERATIVE HOUSING SOCIETY SEC-B,PLOT-89 KOLKATA",IND
427,CU1A01484,ANISHA METAL UDYOG,613,3,"ANISHA METAL UDYOG  C/O VK PLASTIC UDYOG GAHAWA ,BIRGUNJ-10 NEPAL ",IND
428,CU1A01485,ARJUNA IMPEX,52,1,"ARJUNA IMPEX  85A/1,THANGAM COMPLEX NORTH GATE SS COLONY MADURAI",IND
429,CU1B00051,BELLARY STEELS AND ALLOYS LIMITED,43,1,BELLARY STEELS AND ALLOYS LIMITED  S 10/11 ANANTAPUR ROAD  BELLARY ,IND
430,CU1B00052,BELL CERAMICS LIMITED,33,1,BELL CERAMICS LIMITED    DORA ,IND
431,CU1B00053,BENNETT COLEMAN AND COMPANY LIMITED,31,1,BENNETT COLEMAN AND COMPANY LIMITED  THE TIMES OF INDIA BUILDING DR D N ROAD MUMBAI ,IND
432,CU1B00054,BERI MOTORS,11,1,BERI MOTORS  2776/2 PEAREYLAL MOTOR MARKET KASHMERE GATE NEW DELHI ,IND
433,CU1B01036,BOMMIDALA PACKAGING LTD,41,1,BOMMIDALA PACKAGING LTD  MAMBAKKAM VILLAGE VANDALUR KELAMBAKKAM ROAD CHENGALPET TK KANCHIPURAM,IND
434,CU1B00407,BALAK PLASTICS,34,1,BALAK PLASTICS  YELLOW BUILDING 7 CHAMELI CHOWK SAGAR (M P) ,IND
435,CU1A01185,AMIT AYURVEDIC AND COSMEITCS,33,1,AMIT AYURVEDIC AND COSMEITCS PRODUCTS I PVT LTD BHARAT INDUSTRIAL ESTATE BIMPORE DAMAN ,IND
436,CU1A01186,ALVENIA HOSIERY MILLS,51,1,"ALVENIA HOSIERY MILLS  RAJA RAJESWARI GINNING FACTORY COMPOUND,DHARAPURAM ROAD TIRUPUR ",IND
437,CU1A01187,ANGU AUTO SERVICES,52,1,ANGU AUTO SERVICES ANGU NAGAR BYE-PASS ROAD COLLECTORATE POST OFFICE  DINDIGUL-4 ,IND
438,CU1A01188,AIRCOM LTDA,665,3,AIRCOM LTDA  CARRERA 54 NO 16-06 PEUENTE AR AND A COLUMBIA ,USD
439,CU1A01190,ASHOKA MILL STORES,11,6,"ASHOKA MILL STORES  743,REKABGANJ FAIZABAD UTTARPRADESH ",IND
440,CU1A01191,ANITHA PARANTHAMAN,45,1,"ANITHA PARANTHAMAN  119,LAL BAHADUR STREET  PONDICHERRY ",IND
441,CU1A01192,AUTO CENTRE,21,1,"AUTO CENTRE RAK,MAA 54 A, SECTOR - C INDUSTRIAL SRIGITTI,BILASPUR KORBA - 495 671 CHATTISGARH",IND
442,CU1A01193,ACER MOTORS,42,1,"ACER MOTORS  A-1, NO T1 VALLEY TRIMULGHARRY SECUNDERABAD ",IND
443,CU1A01155,AMBAL MODERN RICE MILL,52,1,AMBAL MODERN RICE MILL M.WAHITHA MDHAMED NATARASAPURAM PUDUVAYAL SIVAGANGAI DIST ,IND
444,CU1A01156,AMOLI ORGANICS LIMITED - BARODA,31,1,"AMOLI ORGANICS LIMITED - BARODA BLOCK NO:422 TO 425 NEAR ECP CANAL ROAD LUNA VILLAGE,PADRA TALUKA BARODA ",IND
445,CU1A01157,A-ONE WIRE INDUSTRIES PVT LTD,613,3,A-ONE WIRE INDUSTRIES PVT LTD  GPO BOX 20014 MAHARAJGUNJ KATHMANDU NEPAL,IND
446,CU1A01159,AMEER TOOLS,51,1,"AMEER TOOLS SHOP NO 6, MMA MARKET SOUTH  UKKADAM  COIMBATORE ",IND
447,CU1A01161,ANNAMAR RIG SERVICE,41,1,"ANNAMAR RIG SERVICE  111/6,CHINNASUBRAYA PILLAI ST  PONDICHERY ",IND
448,CU1A01162,ASHOKA MOULDERS PVT LIMITED,21,1,ASHOKA MOULDERS PVT LIMITED  3 BANSTOLLA GHAT ROAD SHIBPUR HOWRAH ,IND
449,CU1A00975,ALLAINCE MARUTHI SERVICE,53,1,ALLAINCE MARUTHI SERVICE  PANIPPALLY  KOLLAM ,IND
450,CU1A01058,ADHUNIK CORPORATION PVT LIMITED,21,1,ADHUNIK CORPORATION PVT LIMITED  HAHNIMAN SARANI ANGADPUR DURGAPUR ,IND
451,CU1A01060,ABHISHEK MOTORS PVT LTD,21,1,ABHISHEK MOTORS PVT LTD  MKD ROAD SILPATHUR GUNAHATI ,IND
452,CU1A01061,AQUA PACKKAGING SYSTEMS& EQUIPMENTS,41,1,AQUA PACKKAGING SYSTEMS& EQUIPMENTS  A73/5 TH STREET ANNANAGAR EAST CHENNAI ,IND
453,CU1A01062,ARUMUGA FABRICS PVT LTD,52,1,"ARUMUGA FABRICS PVT LTD  636/15,RAJAPALAYAM ROAD  CHATRAPATTI VIRUDHUNAGAR",IND
454,CU1A01063,ANJANEYA MOTORS,53,1,ANJANEYA MOTORS  9/2006 KOCHAR ROAD SASTHAMA NAALAM TRIVANDRUM ,IND
455,CU1A01065,AMANA TOYOTA,21,1,AMANA TOYOTA C/O VPK MOTORS PVT LTD VII/221-A NH 17 KOLATHARA CHERUVANNUR ,IND
456,CU1A01066,AGRO ENGINEERING,43,1,AGRO ENGINEERING  SHADE COMPOUND NEAR RACILWAY STATION GULBARGA ,IND
457,CU1A01067,ANBU AGENCY,41,1,"ANBU AGENCY  47/12,NACHIYAR COMPLEX  NORTH STREET VEDARANYAM",IND
458,CU1A01078,AMBUJA CEMENT EASTERN LTD,34,1,AMBUJA CEMENT EASTERN LTD  VELLAGE PO  RAWAN TEHSIL BALODA BAZAR RAIPUR DIST ,IND
459,CU1A01080,AS MOTORS PVT LTD,34,1,"AS MOTORS PVT LTD   SHIVPURI LINK ROAD, GRAM KEDARPUR, GWALIOR - 474002",IND
460,CU1A01081,AUTO HANGAR INDIA PVT LTD,31,1,"AUTO HANGAR INDIA PVT LTD  5/87,CENTA,AMROL NAKA ANDHERI KURLA ROAD ANDHERI (E) MUMBAI",IND
461,CU1A01082,ASL MOTORS PVT LTD,21,1,"ASL MOTORS PVT LTD NS-2, II ND PAHSE ADITYAPUR TATA-KANDRA MAIN ROAD JAMSHEDPUR ",IND
462,CU1A01084,AUTO SAFE,53,1,"AUTO SAFE  C/O GERORGE,HOUSE NO 40 PUTHUPARAMBIL BAINS COPOUND,NATHANCODE TRIVANDRUM",IND
463,CU1A01085,AA AUTO COLOUR CARE,52,1,AA AUTO COLOUR CARE  7/1184 A1 AINDU THALAIPPU VAIKAL MAYILADUTHURAI MAIN ROAD KUMBAKONAM,IND
464,CU1A01086,A-ONE AUTOMOBILES,11,1,A-ONE AUTOMOBILES  487/35 PEERA GARHI  DELHI ,IND
465,CU1A01087,ACCURATE EQUIPMENT,33,1,ACCURATE EQUIPMENT  OPP:TELEPHONE EXCHANGE SHAPAR(VERAVEL) RAJKOT(DT) KOTDASNQANI(TK) RAJKOT,IND
466,CU1A01089,AMMUNITION FACTORY,32,2,AMMUNITION FACTORY  KHADKI  PUNE ,IND
467,CU1A01147,AMINAL RICE MILL,52,1,"AMINAL RICE MILL  7,2D5-D,ILANANGUDI ROAD EMANESWARAM PARAMAKUDI RAMANATHAPURAM",IND
468,CU1A01148,A K AHAMED MODERN RICE MILL,54,1,"A K AHAMED MODERN RICE MILL  40/2,MANNARPALAYAM ROAD ALLIKUTTAI POST SALEM ",IND
469,CU1A01149,ANNAI ARISI ALAI,52,1,"ANNAI ARISI ALAI  THALAVAIPURAM MAIN ROAD 3/218,ATHITHANAR NAGAR THALAVAIPURAM ",IND
470,CU1A01151,ACME STEELS,51,1,"ACME STEELS  NO 135,PODANUR MAIN ROAD  COIMBATORE ",IND
471,CU1A01152,ASHWINI ENTERPRISES,32,1,"ASHWINI ENTERPRISES  1243/80,A SHIVAJI UDYAM NAGAR  KOLHAPUR ",IND
472,CU1A01153,"AC-2000,DE-VENEZVELA CA",662,3,"AC-2000,DE-VENEZVELA CA AIRE COMPRIMIDO,CALLEPPAL PALMA REAL,URB TRIGAL NORTE,ELIFICIO-B-2 PISO,VALENCIA ",IND
473,CU1A01164,ANUTRONICS PVT LTD,43,1,ANUTRONICS PVT LTD  S1&S2  VERNA ELECTRONICS CITY VERNA GOA ,IND
474,CU1A01165,AMITRONICS PVT LTD,43,1,AMITRONICS PVT LTD  26 B ELECTRONICS CITY 18TH KM HOUSE ROAD BANGALORE,IND
475,CU1A01167,AUGUSTAN KNITWEAR PVT LIMITED,51,1,"AUGUSTAN KNITWEAR PVT LIMITED 3/127A, MANICKAMPALAYAM KUNNATHURPUDUR POST KOVILPALAYAM COIMBATORE ",IND
476,CU1A01168,ANITHA TUBEWELLS,45,1,"ANITHA TUBEWELLS  7/3,NATESAN NAGAR  PONDICHERY-5 ",IND
477,CU1A01169,ATUL CARS,31,1,ATUL CARS  VISHAL BHAVAN AHINSA NAGAR JALNA ROAD AURANGABAD,IND
478,CU1A01170,AVANTIKA RAJ MOTORS ENTERPRISES,11,1,AVANTIKA RAJ MOTORS ENTERPRISES  RAWAN KI BAGICHI KESAR GANJ AJMER ,IND
479,CU1A01172,ATMA RAM AUTO ENTERPRISES,11,1,"ATMA RAM AUTO ENTERPRISES  NO 37/1,AGRA DELHI BYEPASS RD NEAR BHAGWANT TALKIES AGRA-5 ",IND
480,CU1A01434,AHKIL FAB,54,1,"AHKIL FAB  NO 1,SENGUNTHAPURAM PALLIPALAYAM ERODE ",IND
481,CU1B00050,BELLARY STEELS AND ALLOYS LIMITED,43,1,"BELLARY STEELS AND ALLOYS LIMITED  S 10/11, ANANTHAPUR ROAD  BELLARY ",IND
482,CU1B00184,B ARUNAGIRI & COMPANY,43,1,B ARUNAGIRI & COMPANY  ARUNAGIRI COMPLEX BY PASS ROAD HOSUR ,IND
483,CU1B00186,BAJRANGBALI ALLOYS PRIVATE LIMITED,21,1,"BAJRANGBALI ALLOYS PRIVATE LIMITED  NH 5, MANGULI CHHAK CHOUDWAR CUTTACK ",IND
484,CU1B00187,BHARUCHA AND SONS,33,1,"BHARUCHA AND SONS  PLOT NO 207, A ROAD GIDC ESTATE, PANDESARA SURAT ",IND
485,CU1B00188,BRAKES INDIA LIMITED,41,1,BRAKES INDIA LIMITED  BRAKE DIVISION  SHOLINGHUR ,IND
486,CU1A01347,ACE CARS,11,1,ACE CARS  PLOT NO 64-65 UDYOG VIHAR PHASE-IV GURGAON,IND
487,CU1A01287,AMMAN ROCK DRILLS,45,1,"AMMAN ROCK DRILLS  NO 86,3 RD STREET PANDA SOLLANATHEN PONDICHERRY ",IND
488,CU1A01288,ANGALAMMAN DRILLERS,45,1,"ANGALAMMAN DRILLERS  NO3,MADUKKAPAL ROAD KARIA MANICKKAM PONDICHERRY ",IND
489,CU1A01201,AM MODERN RICE MILL,54,1,AM MODERN RICE MILL  KATTUR ROAD SIVADHAPURAM SALEM-307 ,IND
490,CU1A01202,ASHOK LEYLAND LTD,31,1,"ASHOK LEYLAND LTD  PLOT NO 1 MIDC,INDL AREA GADEGAUM VILLAGE SAKOLI TALUK,BHANDARH-DIST",IND
491,CU1A01204,ASSOCIATED NEWS PAPERS OF,611,3,ASSOCIATED NEWS PAPERS OF CEYLON LTD LAKE HOUSE COLOMBO  SRILANKA SRILANKA,IND
492,CU1A01205,ARULPRAKASH,45,1,"ARULPRAKASH  NO 270,RANGAPILLAI STREET  PONDICHERRY-1 ",IND
493,CU1A01206,ABIRAMI BOREWELLS,45,1,ABIRAMI BOREWELLS  THANGAMURHU C C/O CHENNIAMALAI NO 70-A-KAMARAJ SALAI PONDICHERRY-11,IND
494,CU1A01207,ANANT TEXTILES PVT LTD,31,1,ANANT TEXTILES PVT LTD  NAVI  MUMBAI ,IND
495,CU1A01240,ABY K PETER,53,1,ABY K PETER  C/O ASHWATI ENTERPRISES KAZHUTHU MUTTU ERNAKULAM ,IND
496,CU1A01241,AMARJOTHI RICE MILL,51,1,AMARJOTHI RICE MILL  K.MUTHUSAMY & SONS PERIYAILLIYAM POTHIPALAYAM POST KANGAYAM-701,IND
497,CU1A01242,AUTO AGRIC INDUSTRIES PVT LTD,12,1,AUTO AGRIC INDUSTRIES PVT LTD  DEEG ROAD  BHARATPUR ,IND
498,CU1A01243,ASIA ENGINEERING,51,1,"ASIA ENGINEERING  SF NO 328,SHARP NAGAR WEST KALAPATTI ROAD COIMBATORE ",IND
499,CU1A01244,ARUNODHAYA MILLS,51,1,"ARUNODHAYA MILLS  302,MANICKKAPURAM ROAD  PALLADAM ",IND
500,CU1A01246,A V M AUTOS,52,1,A V M AUTOS 78 NO 9954 MARTHANDAPURAM 3RD STREET NEAR AVM TRUST PUDUKKOTTAI,IND
501,CU1A01247,ASSISTANT REGISTRAR SRIC,21,1,ASSISTANT REGISTRAR SRIC  INDIAN INSTITUTE OF TECHNOLES KHARAGPUR WEST BENGAL ,IND
502,CU1A01334,ARULSAKTHI RIG SERVICE,45,1,ARULSAKTHI RIG SERVICE  NO 36/76 URUVAIYUR MAIN ROAD PONDICHEERY ,IND
503,CU1A01365,A S R FAST DRILLERS,45,1,"A S R FAST DRILLERS PROP:SUGANTH S NO 51,PERUMAL KOIL STREET  PONDICHERRY ",IND
504,CU1A01499,ARUNS BISCUITS MACHINEERIES PVT LTD,51,1,"ARUNS BISCUITS MACHINEERIES PVT LTD  SF NO 213,SITE NO 6,SITRA KALAPATTI ROAD,KALAPATTI POST COIMBATORE ",IND
505,CU1A01500,AQUA FLOW,51,1,"AQUA FLOW  2/189C,KARAIMPALAYAM ROAD MYLAMPATTI PO COIMBATORE ",IND
506,CU1A01501,A S J TRADERS,611,3,"A S J TRADERS  119,ACWIS TOWN,HENDALA WATTALA SRILANKA ",USD
507,CU1A01503,A C S MODERN RICE MILL,52,1,"A C S MODERN RICE MILL  615,ILAYANGUDI ROAD KOTTHANDAN POST SIVAGANGAI ",IND
508,CU1A01505,AMRIT ENTERPRISES LTD,13,1,"AMRIT ENTERPRISES LTD  SITTO GUNNO ROAD VILL:RAIPURA,TEHSIL:ABOHAR PUNJAB ",IND
509,CU1B00191,BANKE BIHARI PROCESS (P) LIMITED,12,1,BANKE BIHARI PROCESS (P) LIMITED  E 63 MANDIA ROAD  PALI-MARWAR(RAJ). ,IND
510,CU1A01136,ASSOCIATED AUTOTEX ANCILLARIES PVT,51,1,"ASSOCIATED AUTOTEX ANCILLARIES PVT LIMITED(AUTOTEX) COATS,13/20 SITRA-KALAPATTY ROAD, AERODROME POST COIMBATORE ",IND
511,CU1A01139,ALMONARD LIMITED,51,1,"ALMONARD LIMITED  409/3A,EKAMBARA NAICKER INDUSTRIAL ESTATE ALAPPAKKAM,PORUR CHENNAI",IND
512,CU1A01140,AIRDOT COM PTE LTD,621,3,"AIRDOT COM PTE LTD  NO 156,GUL CIRCLE JURONG  SINGAPORE ",USD
513,CU1A01141,ANIJRA TEXFAB PVT LTD,33,1,ANIJRA TEXFAB PVT LTD    SURAT AHEMEDABAD,IND
514,CU1A01142,AJANTA BOTTLERS OF BLENDERS PVT LTD,21,1,"AJANTA BOTTLERS OF BLENDERS PVT LTD  361,RADIUM ROAD  RANCHI ",IND
515,CU1A01143,A D TEXTILES,54,1,"A D TEXTILES  1/104 SANJAY NAGAR ERODE ROAD,ATHUR ROAD KARUR ",IND
516,CU1A01144,ARAVIND CANS LIMITED,42,1,"ARAVIND CANS LIMITED  PLOT 83/C,KATTEDAN INDUSTRIAL ESTATE HYDERABAD ",IND
517,CU1A01208,AMARDEEP BOREWELLS,33,1,AMARDEEP BOREWELLS C/O RAMESHBHAI G THUMAR POST NANAVADALA THALUKA KALWAD DIST JAMNAGAR ,IND
518,CU1B00297,BORANA INDUSTRIES,12,1,"BORANA INDUSTRIES  E-39 BASNI,2ND PHASE INDL AREA  JODHPUR ",IND
519,CU1B00298,BT PATARAVALLI AUTO,11,1,BT PATARAVALLI AUTO    BELGIUM ,IND
520,CU1B00299,BACTOLAC PHARMACEUTICALS PRT LTD,11,1,BACTOLAC PHARMACEUTICALS PRT LTD    MAHABOO NAGAR ,IND
521,CU1B00300,BHAGIRADH AGRO PLAST PRIVATE,31,1,BHAGIRADH AGRO PLAST PRIVATE LIMITED   MUMBAI ,IND
522,CU1B00302,BANAI AUTO WORKS PRIVATE LIMITED,31,1,"BANAI AUTO WORKS PRIVATE LIMITED   OPP.MAROL POLICE CAMP OFF. MAROL MAROSHI ROAD ANDHERI (E), MUMBAI",IND
523,CU1B00303,BRIGHT BROTHERS LIMITED,31,1,"BRIGHT BROTHERS LIMITED  B-7/3,B-ROAD MIDC TARAPUR-BOISAR THANE ",IND
524,CU1B00304,BON BON SERVICE CENTRE,31,1,BON BON SERVICE CENTRE    MUMBAI ,IND
525,CU1A01248,APL POLYFAB PVT LTD,21,1,"APL POLYFAB PVT LTD  48-C,MATHESWARALLA ROAD  KOLKATTA-46 ",IND
526,CU1B00361,BHARAT BORING,33,1,BHARAT BORING    AHMEDABAD ,IND
527,CU1B00362,BLG ELECTRONICS LIMITED,33,1,BLG ELECTRONICS LIMITED    AHMEDABAD ,IND
528,CU1B00363,BAJAJ POWER EQUIPMENTS P LTD,32,1,"BAJAJ POWER EQUIPMENTS P LTD  S NO:227/3,NIMBLAK MIDC  AHMEDNAGAR MAHARASTRA",IND
529,CU1B00365,BHAGAWATI EQUIPMENTS,33,1,BHAGAWATI EQUIPMENTS    AHMEDABAD ,IND
530,CU1B00367,BHUSHAN PROCESSORS PVT LIMITED,33,1,BHUSHAN PROCESSORS PVT LIMITED    AHMEDABAD ,IND
531,CU1B00368,BHIMANI BOREWELL,33,1,BHIMANI BOREWELL    AHMEDABAD ,IND
532,CU1B00369,BIRLA VXL LIMITED,33,1,BIRLA VXL LIMITED    AHMEDABAD ,IND
533,CU1A01506,AFCONS INFRASTRUCTURE LIMITED,31,1,"AFCONS INFRASTRUCTURE LIMITED AFCONS HOUSE 16 SHAH INDUSTRIAL ESTATE VEERA DESAI ROAD,AZAD NAGAR PB NO 11978,ANDHERI EAST MUMBAI",IND
534,CU1B00131,BPL INDIA LIMITED,43,1,"BPL INDIA LIMITED  9TH KM,BANNERGHATTA ROAD N.S.PALYA BANGALORE ",IND
535,CU1B00132,BPL LIMITED,43,1,"BPL LIMITED  KIADB INDL. AREA, YEDEHALLI DOBBESET, TUMKUR ROAD BANGALORE ",IND
536,CU1B00133,BPL SANYO TECHNOLOGIES LIMITED,43,1,"BPL SANYO TECHNOLOGIES LIMITED  PLOT NO.1, KIADB INDL. AREA DODDABALAPUR BANGALORE ",IND
537,CU1B00135,BPL TELECOM LIMITED,51,1,BPL TELECOM LIMITED  POST BOX NO 50 KOOTU PATHA PALAKKAD ,IND
538,CU1B00136,BRAKES INDIA LIMITED,43,1,BRAKES INDIA LIMITED  PLOT NO. 3A  KIADB INDL. AREA NANJANGUD MYSORE ,IND
539,CU1B00137,BRENTFORD JAMES AND COMPANY,11,1,BRENTFORD JAMES AND COMPANY  383 SURKHA CHAWNI NAINITAL BYE PASS ROAD BAREILLY ,IND
540,CU1A01256,AGRO MACHNIERY CORPARATION,32,1,"AGRO MACHNIERY CORPARATION  153,BHAVANI PETH SATARA MAHARASHITRA STATE ",IND
541,CU1B00004,B M SORNAM PILLAI SONS,52,6,B M SORNAM PILLAI SONS   59  WEST CAR STREET DINDIGUL-624001 TAMILNADU,IND
542,CU1B00006,BRAKES INDIA LIMITED,41,1,BRAKES INDIA LIMITED  PADI  CHENNAI ,IND
543,CU1B00139,BRIDGE AND ROOF CO (INDIA) LIMITED,21,1,"BRIDGE AND ROOF CO (INDIA) LIMITED FLAT NO:17-18, 3RD FLOOR HARRINGTON MANSION 8, HO-CHI-MINH SARANI CALCUTTA ",IND
544,CU1B00140,BRIGHT CASTINGS,51,1,"BRIGHT CASTINGS  115 VK ROAD, B R PURAM 115 VK ROAD, B R PURAM PEELAMEDU COIMBATORE",IND
545,CU1B00144,BRINDAVAN TEA AND INDUSTRIES,51,1,BRINDAVAN TEA AND INDUSTRIES  NEDUGULA  THE NILGIRIS ,IND
546,CU1B00306,BLUE BLENDS (I) LIMITED,31,1,BLUE BLENDS (I) LIMITED    MUMBAI ,IND
547,CU1A01310,ALAVEESON TYRES,53,1,ALAVEESON TYRES MOHAMED P CALICUT ROAD OPP:NARTHAGI THEATRE MANJERI MALAPURAM DIST,IND
548,CU1A01443,ARYA VAIDYA NILAYAM,52,1,ARYA VAIDYA NILAYAM  175-A VILACHERRY MAIN ROAD MUNIYANDIPURAM MADDURAI ,IND
549,CU1A01444,AJANTHA ROTARY PRINTS,51,1,"AJANTHA ROTARY PRINTS  2000/3,MURUGAMPALAYAM IDUVAMPALAYAM POST TIRUPUR ",IND
550,CU1A01446,ASSET AUTO INDIA PVT LTD,31,1,"ASSET AUTO INDIA PVT LTD  BHARAT INDUSTRIAL ESTATE OPP-HOTEL SHERA,LBS ROAD BHANDUP,MUMBAI ",IND
551,CU1A01447,ANURAJ EQUIPMENTS PVT LTD,42,6,"ANURAJ EQUIPMENTS PVT LTD  101,IST FLOOR,MAHAVIR COMPLEX HYDERBASTI SECUNDERABAD ",IND
552,CU1A01448,ANNAI AGRO PUMPS,52,6,"ANNAI AGRO PUMPS  174/1,NELLAI LODGE BUILDING S N HIGH ROAD TIRUNELVELI ",IND
553,CU1A01449,AGRO AUTOMOBILES,11,1,AGRO AUTOMOBILES  FAIZABAD ROAD  SULTANPUR ,IND
554,CU1B00370,BOEHRINGER MANNHEM INDIA LIMITED,31,1,BOEHRINGER MANNHEM INDIA LIMITED    MUMBAI ,IND
555,CU1A01317,ARUNACHALAM SP,45,1,"ARUNACHALAM SP S/OPONNUSAMY GOUNDER NO 6,LALAS STREET SULTANPET PONDICHEERY ",IND
556,CU1A01318,ARAVIND KNIT FABB,51,1,ARAVIND KNIT FABB  4/90 KARUPPA GOUNDANPALAYAM RD VEERAPANDI TIRUPUR ,IND
557,CU1A01319,AMAR JOTHI MACHINERY CORPORATION,42,1,"AMAR JOTHI MACHINERY CORPORATION  11-176/1,FATEHNAGAR  HYDERABAD ",IND
558,CU1A01321,ARCHIE OFFSET PRINTERS,613,3,"ARCHIE OFFSET PRINTERS  P O BOX 9162, ACDURBAR OVRBARMARG,KATHMANDU NEPAL ",IND
559,CU1A01455,ARUNKANNAN MODERN RICE MILL,52,1,"ARUNKANNAN MODERN RICE MILL  81-C,CHINTHAMANI RING ROAD  MADURAI ",IND
560,CU1A01456,ABHEDYA INDUSTRIES LTD,42,1,ABHEDYA INDUSTRIES LTD  6-3-1/176/A BEHIND BLUE MOON HOTEL BEGUMPET HYDERABAD,IND
561,CU1A01457,A S CARGO MOVERS PVT LTD,41,1,"A S CARGO MOVERS PVT LTD  86,NUNGAMBAKKAM HIGH ROAD  CHENNAI ",IND
562,CU1B00138,BRENTFORD JAMES TRADING CORPORATION,11,1,BRENTFORD JAMES TRADING CORPORATION  179 CIVIL LINES  BAREILLY ,IND
563,CU1B00358,BALKRISHAN DYEING & PRINTING P.LTD,33,1,"BALKRISHAN DYEING & PRINTING P.LTD  PLOT NO 394, G I D C PANDESARA SURAT ",IND
564,CU1B00359,BINDAL SILK MILLS PRIVATE LIMITED,33,1,"BINDAL SILK MILLS PRIVATE LIMITED  PLOT 216,KADODARA CHAR RASTA TALUKA PALSANA SURAT ",IND
565,CU1B00360,BALMER LAWRIE & CO LIMITED,31,1,"BALMER LAWRIE & CO LIMITED  GREASES & LUBRICANTS DIVISION SURVEY NO.201/1, SAYLI, D & H SILVASSA ",IND
566,CU1B00373,BACHOO GARAGE,31,1,BACHOO GARAGE    MUMBAI ,IND
567,CU1B00374,BAYER INDIA LIMITED,31,1,BAYER INDIA LIMITED    MUMBAI ,IND
568,CU1B00375,BRIHAN MAHARASHTRA STEEL INDUSTRIES,31,1,"BRIHAN MAHARASHTRA STEEL INDUSTRIES LIMITED A-25, M I D C, ROAAD NO:3 MAROL INDL AREA, ANDHERI (E) MUMBAI ",IND
569,CU1B00376,BLOW PLAST LIMITED,31,1,BLOW PLAST LIMITED    MUMBAI ,IND
